Wall time,Step,Value
1745186232.798778,42300,-18.20041275024414
1745186257.6768074,49500,-121.45032501220703
1745186262.7112486,51000,-129.42642211914062
1745186344.619668,71600,-595.2894287109375
1745186359.870677,76100,-737.0492553710938
1745186375.5970726,80700,-930.9041748046875
1745186410.6719449,90900,-1419.9337158203125
1745186471.5959277,105500,-2140.408447265625
1745186547.58543,127700,-3259.78271484375
1745186551.4121478,128800,-3354.232177734375
1745186583.4920688,138300,-4151.2041015625
1745186601.1188953,143500,-4460.1015625
1745186630.768879,152200,-4871.23681640625
1745186690.8494942,166800,-5241.9248046875
1745186704.8480747,170900,-5292.6904296875
1745186717.2433662,174500,-5323.2626953125
1745186722.7986705,176100,-5412.59033203125
1745186736.015486,179900,-5373.775390625
1745186741.7802315,181600,-5419.3232421875
1745186881.1693547,219100,-5368.25439453125
1745186888.0102732,221100,-5272.4619140625
1745187052.3146238,268700,-4455.9189453125
1745187054.0203226,269200,-4409.037109375
1745187061.2507296,271300,-4379.353515625
1745187075.4744334,275400,-4304.8642578125
1745187101.0305936,282800,-3970.482421875
1745187138.0996866,293500,-3799.82470703125
1745187141.2640612,294400,-3960.00048828125
1745187146.5414941,295900,-3982.2314453125
1745187149.6349502,296800,-3853.77197265625
1745187178.687764,301900,-4079.0732421875
1745187289.9419248,333400,-3408.416259765625
1745187297.69232,335600,-3491.23388671875
1745187311.6331577,339600,-3705.638916015625
1745187345.3001516,349200,-3697.00146484375
1745187353.608322,351600,-3472.70263671875
1745187386.001203,360700,-3839.96923828125
1745187460.109463,381700,-3510.22900390625
1745187471.895311,385100,-3672.349609375
1745187477.5435307,386700,-3516.033203125
1745187491.0208087,390500,-3602.775634765625
1745187495.9756398,391900,-3651.400390625
1745187497.0011625,392200,-3473.532470703125
1745187559.7281559,409900,-3544.040283203125
1745187583.6744285,416600,-3515.2021484375
1745187622.137111,427400,-3703.85205078125
1745187652.9606867,436000,-3459.224609375
1745187657.1541023,437200,-3405.8798828125
1745187678.2167897,443200,-3206.7392578125
1745187682.1032815,444300,-3227.48583984375
1745187694.5194345,447800,-3005.2041015625
1745187730.1135101,457900,-3016.7490234375
1745187812.9477403,481500,-2910.80859375
1745187906.2745442,508300,-2840.070068359375
1745187996.575921,534100,-2153.9306640625
1745188012.7439046,538700,-2308.38330078125
1745188030.9858878,543800,-2240.83203125
1745188035.6328673,545100,-2243.085693359375
1745188057.5594113,551300,-2213.1923828125
1745188069.107621,554600,-2118.87353515625
1745188092.634903,561300,-1929.998291015625
1745188125.3791783,570500,-2010.1910400390625
1745188200.786168,591800,-1610.174560546875
1745188270.12939,608300,-1532.467529296875
1745188282.275507,611700,-1527.2645263671875
1745188286.8842514,613000,-1397.600341796875
1745188323.1320016,623200,-1313.689453125
1745188328.781059,624800,-1198.2357177734375
1745188348.5355482,630400,-1170.55224609375
1745188378.902367,638900,-999.2399291992188
1745188409.5768282,647600,-871.27099609375
1745188428.6051779,653000,-895.4853515625
1745188447.972015,658500,-820.0314331054688
1745188460.4567943,662000,-763.578369140625
1745188531.526297,682000,-655.8966064453125
1745188588.0302422,698100,-547.168701171875
1745188595.1588159,700100,-535.3587646484375
1745188631.129977,710100,-523.771728515625
1745188655.5688028,717000,-394.2364196777344
1745188681.338148,724200,-407.88299560546875
1745188703.5468493,730500,-386.3895263671875
1745188772.9303079,750400,-325.5657958984375
1745188837.5585592,768700,-226.01600646972656
1745188847.441224,771500,-206.77578735351562
1745188875.182363,779400,-194.09266662597656
1745188910.4074125,789500,-160.86181640625
1745188940.3496156,798100,-163.366943359375
1745188949.5078914,800700,-158.0517578125
1745188962.8916466,804500,-146.04779052734375
1745189031.130674,823700,-71.35525512695312
1745189079.389886,837300,-55.46630096435547
1745189139.592124,854200,-49.50476837158203
1745189231.2477813,879900,-98.99546813964844
1745189233.3644447,880500,-92.78385925292969
1745189256.0407379,886900,-61.444847106933594
1745189270.5579991,891000,-81.81378173828125
1745189283.0039477,894500,-69.25041198730469
1745189293.6557133,897500,-82.01612854003906
1745189314.4444897,900300,-88.50804138183594
1745189322.903012,902700,-83.74954986572266
1745189323.6063373,902900,-74.92205810546875
1745189339.411004,907400,-74.41334533691406
1745189342.8957047,908400,-77.31248474121094
1745189358.4136488,912800,-65.46817016601562
