Wall time,Step,Value
1745186232.798761,42300,17.763534545898438
1745186257.6767871,49500,78.70584869384766
1745186262.7112284,51000,162.73440551757812
1745186344.6196475,71600,4188.04150390625
1745186359.8706572,76100,622.693359375
1745186375.597054,80700,845.1056518554688
1745186410.6719255,90900,1776.3558349609375
1745186471.5959077,105500,7074.20556640625
1745186547.5854096,127700,6283.6357421875
1745186551.4121284,128800,52387.0
1745186583.4920487,138300,6873.904296875
1745186601.1188757,143500,8634.48046875
1745186630.768859,152200,71589.078125
1745186690.849475,166800,7977.6787109375
1745186704.848055,170900,112678.546875
1745186717.243347,174500,7013.28466796875
1745186722.7986512,176100,106919.890625
1745186736.0154662,179900,71927.515625
1745186741.780212,181600,67578.6953125
1745186881.169335,219100,120290.765625
1745186888.010254,221100,9727.3017578125
1745187052.3146043,268700,36451.5390625
1745187054.020303,269200,128793.8359375
1745187061.2507105,271300,3468.25927734375
1745187075.4744143,275400,3568.400390625
1745187101.030574,282800,5435.34228515625
1745187138.0996673,293500,14535.44921875
1745187141.2640421,294400,4576.1337890625
1745187146.5414746,295900,4641.86376953125
1745187149.6349301,296800,4888.6923828125
1745187178.6877382,301900,10418.85546875
1745187289.9419053,333400,5661.2333984375
1745187297.6922975,335600,5426.1474609375
1745187311.6331377,339600,6061.345703125
1745187345.3001316,349200,7346.33203125
1745187353.6083019,351600,35642.921875
1745187386.0011833,360700,8080.458984375
1745187460.109442,381700,255912.15625
1745187471.8952913,385100,3609.79150390625
1745187477.543512,386700,21107.32421875
1745187491.020789,390500,142224.796875
1745187495.9756196,391900,5251.3916015625
1745187497.001143,392200,5135.759765625
1745187559.7281368,409900,20674.669921875
1745187583.6744099,416600,182091.4375
1745187622.1370914,427400,68558.3515625
1745187652.9606674,436000,3701.06787109375
1745187657.1540833,437200,34785.72265625
1745187678.21677,443200,7002.4296875
1745187682.1032612,444300,4928.62939453125
1745187694.519415,447800,37941.78515625
1745187730.1134906,457900,4639.8291015625
1745187812.94772,481500,87980.84375
1745187906.2745247,508300,2918.59033203125
1745187996.575901,534100,20678.05859375
1745188012.7438846,538700,2512.77490234375
1745188030.9858675,543800,3474.594970703125
1745188035.632848,545100,2761.328125
1745188057.5593917,551300,1527.91796875
1745188069.107601,554600,15161.697265625
1745188092.6348839,561300,12889.9228515625
1745188125.3791592,570500,30637.400390625
1745188200.7861485,591800,752.1104736328125
1745188270.1293695,608300,3456.298583984375
1745188282.2754874,611700,872.3927001953125
1745188286.884232,613000,5196.2294921875
1745188323.1319816,623200,721.684326171875
1745188328.781039,624800,5027.205078125
1745188348.5355284,630400,25578.0390625
1745188378.902348,638900,2161.5478515625
1745188409.5768077,647600,389.0745544433594
1745188428.6051583,653000,450.3659362792969
1745188447.971995,658500,906.3668212890625
1745188460.456775,662000,2101.951904296875
1745188531.5262773,682000,849.618408203125
1745188588.0302234,698100,289.0201416015625
1745188595.158796,700100,3775.77880859375
1745188631.1299577,710100,15185.845703125
1745188655.5687828,717000,723.770751953125
1745188681.338129,724200,223.00474548339844
1745188703.5468302,730500,153.3294677734375
1745188772.9302876,750400,338.6882629394531
1745188837.55854,768700,129.9475555419922
1745188847.4412036,771500,235.31045532226562
1745188875.1823442,779400,411.53179931640625
1745188910.4073918,789500,144.03216552734375
1745188940.3495958,798100,201.23243713378906
1745188949.5078726,800700,160.47125244140625
1745188962.891627,804500,203.7562713623047
1745189031.1306546,823700,191.83303833007812
1745189079.3898664,837300,85.40728759765625
1745189139.5921035,854200,212.19512939453125
1745189231.2477612,879900,371.1508483886719
1745189233.3644254,880500,99.0615463256836
1745189256.0407183,886900,58.501182556152344
1745189270.5579793,891000,43.83936309814453
1745189283.0039287,894500,56.55020523071289
1745189293.655694,897500,109.43630981445312
1745189314.4444695,900300,2801.035888671875
1745189322.9029918,902700,87.62057495117188
1745189323.6063175,902900,330.22344970703125
1745189339.410985,907400,120.64453125
1745189342.8956854,908400,115.67448425292969
1745189358.4136288,912800,301.7587890625
1745189421.4330652,930900,119.84205627441406
1745189454.9204895,940300,99.7582778930664
1745189491.0582066,950300,111.71923828125
1745189505.0884387,954200,190.76931762695312
1745189517.5906157,957800,193.38291931152344
1745189528.5229483,961000,539.846435546875
1745189593.5139432,979800,2891.427490234375
1745189650.3910363,996300,584.59033203125
1745189664.6929233,1000400,2566.47265625
1745189665.0335636,1000500,200.98292541503906
1745189694.3089554,1008800,897.0051879882812
1745189704.937427,1011800,989.9400634765625
1745189714.1003532,1014500,162.38351440429688
1745189721.9846754,1016800,286.87066650390625
1745189733.030775,1020000,178.51783752441406
1745189741.2482574,1022400,2844.037841796875
1745189743.317718,1023000,162.42816162109375
1745189772.636814,1031400,152.360595703125
1745189781.8293657,1034100,479.7166442871094
1745189792.3366292,1037200,278.44927978515625
1745189816.1445038,1044200,397.58770751953125
1745189868.971488,1059300,718.9609985351562
1745189887.7444286,1064600,258.2723083496094
1745189905.546669,1069600,256.8958740234375
1745189910.2277327,1070900,2178.750244140625
1745189925.5607698,1075200,372.93524169921875
1745189931.6332738,1076900,319.4793701171875
1745189946.7914095,1081200,241.24441528320312
1745189975.6513274,1089400,1185.964111328125
1745189976.3277886,1089600,187.3773193359375
1745189997.7991917,1095800,365.8851318359375
1745190003.651175,1097500,338.5216064453125
1745190108.1610053,1127400,350.790771484375
1745190141.5339744,1136900,246.5275421142578
1745190176.5688643,1146900,241.47149658203125
1745190217.0742648,1158200,2218.384521484375
1745190239.3486693,1164500,4693.322265625
1745190398.2188075,1207000,3914.346923828125
1745190414.9937437,1211800,1028.330322265625
1745190470.8196871,1227800,240.54037475585938
1745190487.957769,1232700,135.35464477539062
1745190571.300156,1256700,349.6711730957031
1745190584.5669484,1260500,1257.983154296875
1745190599.9241595,1264900,205.00201416015625
1745190600.610855,1265100,359.32598876953125
1745190627.2161565,1272700,161.40005493164062
1745190707.6168923,1295900,289.6123046875
1745190774.860326,1315200,609.6428833007812
1745190776.254396,1315600,396.60791015625
1745190789.79969,1319500,325.6598205566406
1745190915.5282443,1355500,1090.2213134765625
1745190944.6813295,1363900,462.02557373046875
1745190955.0169518,1366900,1272.864990234375
1745190991.4029095,1377300,517.5750122070312
1745191001.2358527,1380100,1636.7779541015625
1745191027.1345437,1387400,390.638916015625
1745191033.9649649,1389300,8020.3671875
1745191035.7395315,1389800,433.1398010253906
1745191090.5062196,1405300,488.5126953125
1745191107.182265,1410000,389.0526428222656
