Wall time,Step,Value
1745186119.69852,5699,-1456.52490234375
1745186140.2243094,14399,-1513.580322265625
1745186145.632329,18899,-1688.076904296875
1745186170.3116398,26999,-1548.0203857421875
1745186188.6937513,32399,-1563.916748046875
1745186220.7650115,38699,-668.4046020507812
1745186265.80192,51899,-481.895751953125
1745186351.038209,73499,-1363.630126953125
1745186366.2894986,77999,-2108.914794921875
1745186390.1344075,84899,-398.09954833984375
1745186507.9145358,116099,-1545.560302734375
1745186524.2938201,120899,-420.546142578125
1745186537.6601226,124799,-1733.9306640625
1745186560.1957982,131399,-1265.0679931640625
1745186588.641164,139799,-1520.453369140625
1745186604.8645933,144599,-1636.52392578125
1745186634.4555287,153299,-1635.5953369140625
1745186668.471591,160199,-1745.5526123046875
1745186673.4974082,161699,-1634.210205078125
1745186691.8481662,167099,-1311.5135498046875
1745186733.1460388,179099,-1200.642333984375
1745186775.263483,191399,-879.1801147460938
1745186781.4044077,193199,-1364.29443359375
1745186796.7276208,197699,-1760.6065673828125
1745186916.7403877,229499,-1072.3988037109375
1745186957.9656844,241499,-708.1163940429688
1745187022.2231,260099,-1027.0377197265625
1745187043.2134852,266099,-1318.59375
1745187189.120223,304799,-778.228271484375
1745187200.618064,308099,-1293.5318603515625
1745187212.1704507,311399,-833.2579956054688
1745187290.6293488,333599,-550.2418823242188
1745187305.4456656,337799,-1179.9097900390625
1745187312.6860127,339899,-973.5335693359375
1745187333.9494014,345899,-1151.853759765625
1745187346.3093915,349499,-1308.1453857421875
1745187358.928982,353099,-1285.130859375
1745187367.5312302,355499,-1030.3201904296875
1745187403.8377407,365699,-1620.945556640625
1745187439.798356,375899,-749.1806640625
1745187441.9377077,376499,-1735.8463134765625
1745187455.6029122,380399,-470.9590759277344
1745187459.7706914,381599,-528.9745483398438
1745187571.1825826,413099,-770.7219848632812
1745187614.995953,425399,-1198.7423095703125
1745187657.844954,437399,-723.1253662109375
1745187658.901587,437699,-1253.28125
1745187697.0188377,448499,-830.9139404296875
1745187713.9836946,453299,-983.6038208007812
1745187717.1419384,454199,-729.6605834960938
1745187754.2978754,464699,-579.9928588867188
1745187757.5290375,465599,-758.4310913085938
1745187772.439219,469799,-820.03466796875
1745187836.8377235,488399,-1576.813232421875
1745187845.1359518,490799,-1370.6993408203125
1745187881.9051094,501299,-1185.37109375
1745187915.2287939,510899,-1250.7884521484375
1745187924.736367,513599,-746.968017578125
1745188068.3913424,554399,-1458.450439453125
1745188123.6403291,569999,-745.866943359375
1745188134.1655173,572999,-583.4435424804688
1745188167.1119106,582299,-746.3412475585938
1745188188.3620884,588299,-1733.703857421875
1745188189.4310918,588599,207.0948944091797
1745188316.314859,621299,-978.6051025390625
1745188325.9572244,623999,-688.0430297851562
1745188464.0128772,662999,-771.889892578125
1745188580.6264944,695999,-881.095458984375
1745188623.3533306,707999,-764.1261596679688
1745188705.5737402,731099,-1848.330078125
1745188710.7627194,732599,-790.3313598632812
1745188724.4038613,736499,-828.5731811523438
1745188732.7494485,738899,-1216.2178955078125
1745188735.8652132,739799,-1323.014404296875
1745188775.747687,751199,-1267.1634521484375
1745188854.0401247,773399,-472.1424255371094
1745188855.0887818,773699,-610.4552612304688
1745188877.3023186,779999,-1653.0611572265625
1745188914.8957324,790799,-1842.4219970703125
1745188923.302587,793199,-450.5594177246094
1745188966.402032,805499,-898.7772827148438
1745188976.0236373,808199,-1511.9644775390625
1745188992.162098,812699,-480.63946533203125
1745189001.8885906,815399,-428.326416015625
1745189039.8905418,826199,-1937.0574951171875
1745189040.9018073,826499,-1234.7083740234375
1745189055.730605,830699,-629.7606811523438
1745189073.9418561,835799,-1399.3284912109375
1745189103.0461016,843899,-1347.7574462890625
1745189137.1617482,853499,492.9206237792969
1745189155.1034377,858599,-439.1447448730469
1745189274.8126683,892199,481.5097351074219
1745189401.7230387,925199,-1192.4749755859375
1745189402.7517724,925499,-1351.34521484375
1745189423.5058312,931499,-802.2891845703125
1745189424.516227,931799,-1471.1385498046875
1745189440.6736827,936299,-906.0523681640625
1745189467.286033,943799,-367.1258850097656
1745189525.104728,959999,-1338.8851318359375
1745189543.6225417,965399,-660.354736328125
1745189568.4975572,972599,-1816.4334716796875
1745189593.5081663,979799,-1709.51416015625
1745189596.629762,980699,-711.5134887695312
1745189688.2961814,1007099,-338.3813171386719
1745189738.140955,1021499,-1485.67138671875
1745189797.076882,1038599,-1371.6009521484375
1745189819.575412,1045199,-1077.2108154296875
1745189828.0141642,1047599,-419.2024230957031
1745189837.4315126,1050299,-1628.563720703125
1745189864.7015007,1058099,329.4002990722656
1745189907.3825648,1070099,-806.0593872070312
1745189943.6295388,1080299,-546.9398803710938
1745189960.4773645,1085099,279.28973388671875
1745190000.204497,1096499,-1003.3042602539062
1745190003.306819,1097399,-2149.641357421875
1745190007.431236,1098599,-1068.095703125
1745190014.7245526,1100699,-734.3558959960938
1745190017.8445144,1101599,-1785.239501953125
1745190037.5069025,1107299,-1907.39208984375
1745190060.8693056,1113899,-1377.5982666015625
1745190134.5405414,1134899,-1161.4307861328125
1745190204.451467,1154699,-723.8764038085938
1745190274.7419062,1174799,-1500.1234130859375
1745190293.373101,1180199,-1120.4591064453125
1745190337.5129561,1192799,-591.6140747070312
1745190387.293689,1203899,-429.5068664550781
1745190398.9169025,1207199,202.7869415283203
1745190462.75471,1225499,-1179.8436279296875
1745190489.0179656,1232999,-978.599365234375
1745190501.6367433,1236599,-1205.6790771484375
1745190504.7622426,1237499,-1405.2437744140625
1745190527.3585632,1244099,-810.776611328125
1745190563.9745796,1254599,-363.6251220703125
1745190575.4793227,1257899,-1300.6363525390625
1745190612.085263,1268399,-1150.843017578125
1745190643.614378,1277399,-849.8270874023438
1745190706.915935,1295699,-518.1851196289062
1745190717.411924,1298699,316.2084655761719
1745190849.3649688,1336499,-718.4140625
1745190933.9769526,1360799,-790.1654052734375
1745190938.1631577,1361999,142.54412841796875
1745190964.079808,1369499,456.3898620605469
1745191014.64447,1383899,-814.5921630859375
1745191053.8910913,1394999,-1418.86083984375
1745191097.6576383,1407299,-469.94903564453125
1745191106.0984018,1409699,-1128.0665283203125
1745191115.6874774,1412399,-1209.015869140625
1745191139.8388712,1419299,-690.3367309570312
1745191189.782805,1433399,-1114.5240478515625
1745191247.5182664,1449899,261.2666320800781
1745191251.6678548,1451099,-1459.8101806640625
1745191260.0896008,1453499,-735.7623901367188
1745191299.944043,1464899,-620.9513549804688
1745191329.6308844,1473299,-1685.4078369140625
1745191518.326398,1523999,-555.8052978515625
1745191527.8334622,1526699,-659.8632202148438
1745191529.9728422,1527299,-949.8070068359375
1745191574.3080225,1539899,-2105.702392578125
1745191578.454133,1541099,-1695.8941650390625
1745191594.1216965,1545599,-1340.0213623046875
1745191598.2844412,1546799,-502.6621398925781
1745191632.128359,1556399,-540.117919921875
1745191645.8191273,1560299,-1076.5784912109375
1745191671.8624427,1567799,-399.6083068847656
1745191685.6311052,1571699,-391.0857849121094
1745191701.3311021,1576199,-707.287353515625
1745191710.8897226,1578899,-1581.645751953125
1745191745.5428102,1588799,-1222.852783203125
1745191770.8668513,1595999,-1472.479248046875
1745191773.9931335,1596899,-1483.3216552734375
1745191816.1862,1608899,-782.8036499023438
1745191824.5694516,1611299,-1160.91943359375
1745191859.4795096,1621199,-1014.6932373046875
1745191903.5656114,1633799,-1037.22021484375
1745191913.0227237,1636499,-436.836669921875
1745191971.1352673,1652999,63.60878372192383
1745192137.4374642,1700399,-1802.8790283203125
1745192203.4817753,1719299,-1374.2677001953125
1745192232.8958347,1727699,-659.7171630859375
1745192256.6481693,1734599,-896.9676513671875
1745192310.2868254,1749899,-440.1143798828125
1745192345.6546466,1760099,-479.01495361328125
1745192359.1188045,1763999,-767.0288696289062
1745192439.3544333,1787099,-1011.24755859375
1745192465.379608,1794599,-636.264892578125
1745192481.989309,1799399,-573.1547241210938
1745192505.36598,1802999,-1775.1239013671875
1745192551.8259215,1816199,-407.37286376953125
1745192613.7220016,1833599,-939.0022583007812
1745192642.547714,1841699,-697.830810546875
1745192646.7816062,1842899,-986.4183959960938
1745192733.7250953,1867799,-661.92919921875
1745192752.9266639,1873199,-1882.3900146484375
1745192790.9572604,1883999,-1854.0565185546875
1745192845.658652,1899899,-843.7293701171875
1745192847.7778497,1900499,-522.0857543945312
1745192873.1806474,1907699,-1662.3306884765625
1745192874.261199,1907999,-554.6152954101562
1745192879.5804687,1909499,-1268.25537109375
1745192884.827176,1910999,-854.9044189453125
1745193051.116115,1958699,-443.85064697265625
1745193075.5923991,1965599,-252.0303192138672
1745193089.3910317,1969499,-196.9613037109375
1745193094.7728436,1970999,655.8189086914062
1745193111.457199,1975799,-497.924560546875
1745193116.60301,1977299,-731.33740234375
1745193125.9665525,1979999,-503.5428161621094
1745193142.6358697,1984799,-1070.4739990234375
1745193203.8395412,2002199,-625.7737426757812
1745193263.6276765,2019299,-399.69915771484375
1745193284.536553,2025299,-1609.44287109375
1745193339.2354398,2040899,-1514.486328125
1745193380.9124334,2052899,-1509.6253662109375
1745193389.2597294,2055299,-1376.6195068359375
1745193458.4087396,2075099,-1668.5582275390625
1745193461.5613155,2075999,-448.35400390625
1745193473.139403,2079299,449.44305419921875
1745193537.5413814,2097599,-497.66571044921875
1745193542.7950544,2099099,-1186.0333251953125
1745193544.877618,2099699,-1559.319580078125
1745193613.7389822,2116499,-1357.382568359375
1745193680.0200667,2135399,-1350.946044921875
1745193683.1861684,2136299,-553.2006225585938
