Wall time,Step,Value
1745191597.8086295,822000,-1354.4554443359375
1745193651.0327816,2175600,-1099.379150390625
1745194675.7531183,2822400,-602.5341186523438
1745195468.365388,3333600,-1062.884765625
1745195669.6116512,3465600,-1377.4364013671875
1745195989.4590695,3666000,-1498.339111328125
1745196066.6602626,3716400,-1006.623291015625
1745196157.9276106,3776400,-1260.6336669921875
1745196415.9286184,3946800,-1236.9407958984375
1745196944.9053788,4296000,-1040.8790283203125
1745197029.2741628,4352400,-1267.2569580078125
1745197135.1432002,4423200,-1387.0740966796875
1745197167.1375966,4444800,-1787.683837890625
1745197215.361639,4477200,-1284.8946533203125
1745197370.1573324,4580400,-1670.02099609375
1745197551.100759,4699200,-556.9189453125
1745197597.5520735,4729200,-683.5770263671875
1745197612.4851308,4738800,-1335.59912109375
1745197668.7192717,4774800,-1110.84423828125
1745198117.469398,5056800,-814.6234741210938
1745198135.9800718,5068800,-1133.532470703125
1745198217.2937064,5121600,-592.9568481445312
1745198239.4752016,5136000,-756.6767578125
1745198532.096186,5326800,-677.6853637695312
1745198559.4208612,5344800,-1256.0264892578125
1745198671.0657067,5418000,-1148.59521484375
1745198711.1860497,5444400,-1341.935546875
1745198769.6675425,5482800,-1795.2686767578125
1745198868.0484118,5547600,-1279.1875
1745199006.4359734,5638800,-1321.3328857421875
1745199010.0476153,5641200,-986.8992309570312
1745199241.9603846,5792400,-1891.98876953125
1745199275.2896178,5814000,-838.7875366210938
1745199392.7676082,5890800,-1350.833984375
1745199460.276913,5935200,-1176.456298828125
1745199524.36523,5977200,-624.8888549804688
1745199539.1013634,5986800,-1039.482177734375
1745199579.0355349,6006000,-1674.2210693359375
1745199686.213666,6076800,-992.6922607421875
1745199697.1257708,6084000,-1103.3824462890625
1745199720.8536017,6099600,-950.9161987304688
1745199851.955991,6186000,-1097.947265625
1745199870.0128922,6198000,-1519.045654296875
1745199880.814973,6205200,-1208.45458984375
1745199926.177181,6235200,-1019.2548828125
1745200009.1498878,6290400,-1833.0859375
1745200048.8028355,6316800,-1135.06787109375
1745200125.6336486,6368400,-855.6864624023438
1745200216.9973438,6429600,-1207.490478515625
1745200218.832174,6430800,-1263.8515625
1745200220.6330492,6432000,-1047.1328125
1745200238.529872,6444000,-1409.4541015625
1745200249.288596,6451200,-829.7639770507812
1745200349.4137568,6518400,-709.7612915039062
1745200395.9751124,6549600,-1872.7347412109375
1745200446.1917431,6583200,-1325.1875
1745200526.848754,6637200,-1669.1829833984375
1745200535.743372,6643200,-1439.310791015625
1745200542.9324331,6648000,-1024.396484375
1745200580.4684446,6673200,-1039.527099609375
1745200600.1785488,6686400,-1135.4473876953125
1745200610.9049158,6693600,-1180.0552978515625
1745200614.4872937,6696000,-1791.8443603515625
1745200625.1928174,6703200,-2172.819091796875
1745200626.9687006,6704400,-1244.104248046875
1745200641.3031685,6714000,-1152.18798828125
1745200646.683754,6717600,-1569.4827880859375
1745200662.7954385,6728400,-1892.963134765625
1745200673.5005226,6735600,-1569.21630859375
1745200677.0893688,6738000,-1497.392333984375
1745200684.161122,6742800,-1311.2655029296875
1745200694.774427,6750000,-1953.453857421875
1745200705.4427645,6757200,-1137.2032470703125
1745200716.1283653,6764400,-1438.1112060546875
1745200778.8504965,6806400,-1816.7840576171875
1745200814.9661794,6830400,-2223.608642578125
1745200831.2276654,6841200,-1645.9208984375
1745200851.1625662,6854400,-1368.4971923828125
1745200854.7799208,6856800,-1024.20947265625
1745200885.5322788,6877200,-1821.5233154296875
1745201134.5242734,7041600,-1288.4385986328125
1745201145.3589873,7048800,-1304.3682861328125
1745201192.5750828,7080000,-1256.064208984375
1745201205.1972961,7088400,-1137.16455078125
1745201214.27301,7094400,-1227.071044921875
1745201216.0657952,7095600,-1873.1571044921875
1745201232.3559878,7106400,-1189.6025390625
1745201235.982725,7108800,-1645.651123046875
1745201304.6239421,7154400,-1599.5323486328125
1745201340.6767735,7178400,-1392.608154296875
1745201347.9032848,7183200,-1132.0374755859375
1745201353.3335667,7186800,-1506.32666015625
1745201360.6346626,7191600,-950.0452270507812
1745201412.8719869,7219200,-1983.804931640625
1745201414.7308044,7220400,-865.2446899414062
1745201420.1850243,7224000,-1120.5433349609375
1745201423.8349266,7226400,-1169.2813720703125
1745201469.2334592,7256400,-1168.5242919921875
1745201485.6088033,7267200,-1010.4734497070312
1745201501.89778,7278000,-1108.1632080078125
1745201514.598134,7286400,-1512.9765625
1745201561.3525722,7317600,-1277.0963134765625
1745201568.6005664,7322400,-1335.3807373046875
1745201574.0471308,7326000,-1904.134521484375
1745201583.1067586,7332000,-1197.42529296875
1745201593.9027033,7339200,-1636.272216796875
1745201606.4915264,7347600,-1287.5216064453125
1745201613.71899,7352400,-1147.201904296875
1745201617.3037958,7354800,-1216.67919921875
1745201642.576013,7371600,-1467.211181640625
1745201655.2541351,7380000,-1617.16455078125
1745201710.7462313,7417200,-1130.3433837890625
1745201719.690277,7423200,-1972.589599609375
1745201723.3035705,7425600,-1761.6170654296875
1745201725.079409,7426800,-1220.150146484375
1745201734.0040126,7432800,-2001.685302734375
1745201741.0880942,7437600,-1257.7933349609375
1745201753.5884945,7446000,-1250.243408203125
1745201771.4687808,7458000,-1425.81396484375
