Wall time,Step,Value
1745186032.3059702,6000,-1546.606689453125
1745186089.2729511,22800,-1570.6842041015625
1745186175.2959495,49200,-1355.1583251953125
1745186199.8671994,57600,-1268.797119140625
1745186203.4336262,58800,-1250.2125244140625
1745186252.0055754,75600,-1194.5938720703125
1745186255.4830625,76800,-1201.8690185546875
1745186279.7035484,81600,-1229.2403564453125
1745186293.371594,86400,-1237.4586181640625
1745186314.26529,93600,-1304.4949951171875
1745186331.0648491,99600,-1355.54736328125
1745186355.3424988,108000,-1353.746337890625
1745186390.0455482,120000,-1276.7279052734375
1745186404.0682893,124800,-1235.5584716796875
1745186417.9261208,129600,-1186.28759765625
1745186466.906677,146400,-1175.4410400390625
1745186501.4723003,154800,-1170.8643798828125
1745186508.6422045,157200,-1156.7940673828125
1745186557.7429976,174000,-1095.8548583984375
1745186568.1493034,177600,-1087.4429931640625
1745186602.6750624,189600,-1090.0286865234375
1745186613.033689,193200,-1120.2152099609375
1745186620.0824978,195600,-1112.5191650390625
1745186626.9890597,198000,-1139.8096923828125
1745186655.078604,207600,-1080.41845703125
1745186722.0391214,230400,-1042.9439697265625
1745186764.068534,244800,-1059.66943359375
1745186771.2369404,247200,-1021.9757080078125
1745186799.4654472,256800,-998.7849731445312
1745186865.9403234,276000,-989.645263671875
1745186918.1668103,294000,-1159.6287841796875
1745186921.6631017,295200,-1173.466796875
1745186966.436918,310800,-1253.18212890625
1745186969.9015074,312000,-1256.0887451171875
1745187011.7677865,326400,-1127.3336181640625
1745187022.100225,330000,-1093.47119140625
1745187049.994334,339600,-986.5821533203125
1745187060.4430916,343200,-970.991455078125
1745187095.723583,355200,-991.0640869140625
1745187169.5636518,380400,-936.33642578125
1745187180.1148455,384000,-935.3941040039062
1745187190.719175,387600,-907.2705688476562
1745187284.8226786,416400,-953.1041870117188
1745187326.979753,430800,-937.7626953125
1745187348.2118344,438000,-934.5697631835938
1745187355.2059321,440400,-940.1604614257812
1745187397.7482402,454800,-852.4700927734375
1745187425.8364313,464400,-840.8727416992188
1745187439.7016537,469200,-865.4025268554688
1745187446.6213472,471600,-889.4390869140625
1745187481.9445064,483600,-966.9034423828125
1745187488.9964592,486000,-956.0718994140625
1745187527.4743984,499200,-961.7861328125
1745187552.174523,507600,-939.662109375
1745187601.1852548,524400,-955.3851318359375
1745187604.733791,525600,-967.1522216796875
1745187611.8022928,528000,-971.282958984375
1745187636.4271207,536400,-1000.6596069335938
1745187688.9796135,554400,-991.04833984375
1745187703.0930116,559200,-992.7672729492188
