Wall time,Step,Value
1745187387.964483,5699,-838.2488403320312
1745187417.5391557,14399,-519.0576782226562
1745187428.0244913,18899,-1148.70751953125
1745187456.7070456,26999,-664.1923828125
1745187469.3277547,32399,-858.5010986328125
1745187493.5813203,38699,-841.162841796875
1745187524.7027516,51899,-775.2887573242188
1745187584.9969714,73499,-1592.150146484375
1745187595.4819424,77999,-864.9117431640625
1745187611.5664294,84899,-984.759521484375
1745187693.8569472,116099,-776.9596557617188
1745187705.0763848,120899,-955.5050048828125
1745187714.2970774,124799,-825.1964111328125
1745187729.7890856,131399,-708.992919921875
1745187749.3103344,139799,-1323.28564453125
1745187760.4644222,144599,-914.831298828125
1745187780.6095562,153299,-845.1044311523438
1745187806.4093425,160199,-1367.7210693359375
1745187809.895832,161699,-1075.2288818359375
1745187822.4243748,167099,-947.6236572265625
1745187850.4454613,179099,-1406.0789794921875
1745187879.0678046,191399,-2093.238525390625
1745187883.2600808,193199,-577.8960571289062
1745187893.7223997,197699,-886.5362548828125
1745187977.8930573,229499,-1036.946044921875
1745188005.8223991,241499,-963.3275756835938
1745188049.0331984,260099,-746.0413208007812
1745188063.0208185,266099,-251.12599182128906
1745188162.740327,304799,-987.9761352539062
1745188170.4353213,308099,-943.0203857421875
1745188178.1766183,311399,-878.6722412109375
1745188229.7402003,333599,-523.0093994140625
1745188239.4826727,337799,-1289.2716064453125
1745188244.3650246,339899,-619.1765747070312
1745188258.3178198,345899,-1045.7203369140625
1745188266.7007763,349499,-928.6539306640625
1745188275.0564091,353099,-675.0462036132812
1745188280.6522815,355499,-1127.1815185546875
1745188304.3516912,365699,-778.47705078125
1745188328.1074395,375899,-1407.218505859375
1745188329.5184898,376499,-816.7577514648438
1745188338.6054595,380399,-1168.4385986328125
1745188341.3996093,381599,-1176.1241455078125
1745188414.8781765,413099,-1493.251708984375
1745188443.4526913,425399,-741.9369506835938
1745188471.4261575,437399,-547.3353271484375
1745188472.1304364,437699,-1090.470947265625
1745188497.3279545,448499,-1709.8995361328125
1745188508.5172749,453299,-1005.2528076171875
1745188510.6219988,454199,-953.2767944335938
1745188535.1256967,464699,-590.8994140625
1745188537.2185872,465599,-1072.796630859375
1745188547.0879326,469799,-736.152099609375
1745188590.380951,488399,-1024.9630126953125
1745188595.9888277,490799,-907.9165649414062
1745188620.3981242,501299,-1135.8294677734375
1745188642.7739239,510899,-633.8025512695312
1745188649.086601,513599,-1802.6199951171875
1745188744.6367433,554399,-808.902587890625
1745188781.1103365,569999,-1110.44677734375
1745188788.1473854,572999,-986.035888671875
1745188809.9603603,582299,-682.7379760742188
1745188824.0018206,588299,-1005.4705810546875
1745188824.6917906,588599,-1004.3676147460938
1745188911.1943414,621299,-852.8479614257812
1745188917.6392927,623999,-802.8079223632812
1745189009.1407328,662999,-1315.7081298828125
1745189086.3017476,695999,-998.0623168945312
1745189114.4914842,707999,-696.8015747070312
1745189168.5863125,731099,-944.5819702148438
1745189172.121782,732599,-1033.099853515625
1745189181.2435277,736499,-541.4310302734375
1745189186.8611743,738899,-882.0086669921875
1745189188.9735072,739799,-770.0355834960938
1745189215.6278343,751199,-1278.7425537109375
1745189267.4605885,773399,-510.8871765136719
1745189268.1588535,773699,-1085.0908203125
1745189282.851822,779999,-837.9077758789062
1745189308.0650158,790799,-1011.0691528320312
1745189313.689457,793199,-1029.20068359375
1745189342.4882689,805499,-817.3117065429688
1745189348.840286,808199,-815.5196533203125
1745189359.3779943,812699,-1483.486328125
1745189365.7000148,815399,-844.6328125
1745189390.9581988,826199,-1007.5530395507812
1745189391.6596231,826499,-1349.27099609375
1745189401.4763582,830699,-980.462890625
1745189413.4435954,835799,-1620.458740234375
1745189432.3749685,843899,-744.7763671875
1745189454.902634,853499,-1207.263671875
1745189466.8183417,858599,-801.7998046875
1745189545.4174538,892199,-917.7474365234375
1745189632.3553371,925199,-828.9096069335938
1745189633.0594575,925499,-811.25830078125
1745189647.1590152,931499,-792.8300170898438
1745189647.8629863,931799,-832.46337890625
1745189658.4408321,936299,-776.691162109375
1745189676.1103535,943799,-1036.7210693359375
1745189714.0076978,959999,-677.724853515625
1745189726.638169,965399,-1044.230712890625
1745189743.532665,972599,-678.3536987304688
1745189760.3957875,979799,-1031.665283203125
1745189762.5075428,980699,-912.2017822265625
1745189824.571899,1007099,-996.1934814453125
1745189858.1124778,1021499,-820.8093872070312
1745189897.7402177,1038599,-809.355712890625
1745189913.016133,1045199,-710.1136474609375
1745189918.5844557,1047599,-923.283203125
1745189924.9412503,1050299,-1009.5919799804688
1745189942.997278,1058099,-894.961669921875
1745189970.7526941,1070099,-881.9661865234375
1745189994.3678265,1080299,-555.9067993164062
1745190005.482823,1085099,-698.4112548828125
1745190031.9279613,1096499,-1320.443115234375
1745190034.0014443,1097399,-629.723876953125
1745190036.8278744,1098599,-608.5885620117188
1745190041.7277808,1100699,-922.1493530273438
1745190043.8145015,1101599,-1361.9422607421875
1745190057.0833664,1107299,-1305.919677734375
1745190072.4839401,1113899,-1124.1676025390625
1745190121.4785833,1134899,-792.2217407226562
1745190167.6605856,1154699,-898.2088623046875
1745190214.4967606,1174799,-1142.4854736328125
1745190227.098365,1180199,-1189.485107421875
1745190256.4957674,1192799,-1014.4854125976562
1745190292.174843,1203899,-1237.31591796875
1745190300.0005996,1207199,-727.60986328125
1745190342.9557676,1225499,-852.6292724609375
1745190360.5281115,1232999,-1513.377685546875
1745190369.0375876,1236599,-726.6536254882812
1745190371.1643198,1237499,-1276.2747802734375
1745190386.7371855,1244099,-826.1856689453125
1745190411.4967287,1254599,-859.2571411132812
1745190419.241624,1257899,-737.9078369140625
1745190443.9768,1268399,-992.9053344726562
1745190465.1954055,1277399,-1179.779052734375
1745190508.125899,1295699,-1473.2548828125
1745190515.0865276,1298699,-424.56195068359375
1745190602.6915843,1336499,-946.7500610351562
1745190659.3993273,1360799,-1072.9189453125
1745190662.1965246,1361999,-1188.5330810546875
1745190679.6912448,1369499,-887.790771484375
1745190713.3181014,1383899,-1664.7486572265625
1745190739.1566212,1394999,-968.2750854492188
1745190767.7901094,1407299,-808.873291015625
1745190773.3826346,1409699,-690.6806030273438
1745190779.6705034,1412399,-938.3599853515625
1745190795.7265491,1419299,-914.65185546875
1745190828.4780226,1433399,-1175.7935791015625
1745190866.6842418,1449899,-961.7697143554688
1745190869.4621906,1451099,-876.6609497070312
1745190875.0463252,1453499,-1174.1695556640625
1745190901.4153743,1464899,-1073.54833984375
1745190920.8770835,1473299,-822.0850219726562
1745191047.9894679,1523999,-1048.8524169921875
1745191054.2137873,1526699,-972.4744262695312
1745191055.6096787,1527299,-1042.02685546875
1745191084.7597265,1539899,-1101.6451416015625
