Wall time,Step,Value
1745186284.9461162,42300,47.87018966674805
1745186308.6200767,49500,29.605981826782227
1745186313.5765283,51000,19.165239334106445
1745186392.3612618,71600,14.852470397949219
1745186407.6342723,76100,-9.036808967590332
1745186422.8406804,80700,17.10736846923828
1745186457.122004,90900,-9.988871574401855
1745186516.2510107,105500,-40.84954833984375
1745186591.5697458,127700,-24.26167869567871
1745186595.1181612,128800,-22.281204223632812
1745186626.486698,138300,-14.373087882995605
1745186643.9340608,143500,-10.246986389160156
1745186673.0394268,152200,-11.412347793579102
1745186731.321623,166800,-10.73294734954834
1745186744.7205288,170900,-10.764845848083496
1745186756.462487,174500,-38.82298278808594
1745186761.7020721,176100,-47.70836639404297
1745186774.3775506,179900,-64.23228454589844
1745186780.0845742,181600,-64.5844497680664
1745186913.2931952,219100,-82.59676361083984
1745186920.017133,221100,-100.82466125488281
1745187078.4565756,268700,-183.71641540527344
1745187080.1093688,269200,-167.94381713867188
1745187086.9420846,271300,-173.74920654296875
1745187100.3411467,275400,-191.7188720703125
1745187124.8987598,282800,-268.75732421875
1745187161.0029097,293500,-316.7640075683594
1745187164.0393975,294400,-338.5323486328125
1745187168.9947321,295900,-314.8746032714844
1745187171.9640892,296800,-330.74420166015625
1745187198.971319,301900,-338.19171142578125
1745187302.8896306,333400,-633.2984619140625
1745187310.0957656,335600,-654.3406982421875
1745187323.4070406,339600,-695.0154418945312
1745187355.8268394,349200,-700.27392578125
1745187363.9414725,351600,-660.66015625
1745187394.4378562,360700,-607.2766723632812
1745187465.6546974,381700,-473.3141784667969
1745187477.1309688,385100,-467.98345947265625
1745187482.5137625,386700,-455.9109802246094
1745187495.2605681,390500,-443.24456787109375
1745187500.0292296,391900,-435.89434814453125
1745187501.0311637,392200,-448.4137878417969
1745187560.2321038,409900,-424.09228515625
1745187582.4911494,416600,-510.53106689453125
1745187618.4935222,427400,-764.4456787109375
1745187647.2142842,436000,-828.1622314453125
1745187651.1736522,437200,-820.9415893554688
1745187671.253684,443200,-910.9384765625
1745187675.044185,444300,-940.7318115234375
1745187686.8238301,447800,-923.9759521484375
1745187720.9715981,457900,-1071.0704345703125
1745187799.716919,481500,-1252.419189453125
1745187889.8382156,508300,-1189.369384765625
1745187976.2503846,534100,-1053.43505859375
1745187991.896756,538700,-952.8455810546875
1745188009.2367272,543800,-913.92578125
1745188013.6753814,545100,-969.0230102539062
1745188034.8265557,551300,-893.4815673828125
1745188046.0966535,554600,-919.84423828125
1745188068.936544,561300,-868.6091918945312
1745188099.8523552,570500,-905.5309448242188
1745188172.1303043,591800,-1068.1661376953125
1745188238.470318,608300,-1252.810546875
1745188249.846785,611700,-1385.160888671875
1745188254.2485168,613000,-1505.031982421875
1745188288.3286724,623200,-1945.7669677734375
1745188293.6381805,624800,-2064.85107421875
1745188312.3240018,630400,-2447.72802734375
1745188340.843441,638900,-2752.5283203125
1745188370.0244336,647600,-3000.265869140625
1745188388.181549,653000,-3013.378173828125
1745188406.4851427,658500,-3156.61376953125
1745188418.0418823,662000,-3088.208740234375
1745188485.3742495,682000,-3096.858154296875
1745188540.0193381,698100,-2716.34130859375
1745188546.9348497,700100,-2775.38671875
1745188580.3798792,710100,-2587.66064453125
1745188603.2318418,717000,-2470.880859375
1745188627.0314975,724200,-2479.92626953125
1745188647.724757,730500,-2312.16064453125
1745188714.26234,750400,-1970.3614501953125
1745188774.4641147,768700,-1885.434326171875
1745188783.6292787,771500,-1763.0986328125
1745188809.8716793,779400,-1629.6217041015625
1745188843.0228393,789500,-1487.679931640625
1745188871.5617256,798100,-1307.9638671875
1745188880.3206422,800700,-1238.087890625
1745188893.4871874,804500,-1185.36181640625
1745188958.2640889,823700,-975.6827392578125
1745189003.397735,837300,-875.9696044921875
1745189059.5130842,854200,-719.6011352539062
1745189144.845962,879900,-610.756591796875
1745189146.8094468,880500,-684.1915283203125
1745189168.1915336,886900,-566.941162109375
1745189181.795437,891000,-572.295166015625
1745189193.487901,894500,-539.123779296875
1745189203.551671,897500,-592.8236694335938
1745189223.6122153,900300,-612.9588012695312
1745189231.7934148,902700,-600.0462646484375
1745189232.4711142,902900,-583.3181762695312
1745189247.5236142,907400,-535.1460571289062
1745189250.9551244,908400,-565.071533203125
1745189265.9183211,912800,-551.7405395507812
1745189326.9887102,930900,-686.9041137695312
1745189358.8850088,940300,-574.7772216796875
1745189392.4430518,950300,-555.8236083984375
1745189405.5261145,954200,-492.94866943359375
1745189417.5787547,957800,-489.3693542480469
1745189428.2777758,961000,-443.452392578125
1745189491.4061642,979800,-339.82763671875
1745189547.026051,996300,-187.704833984375
1745189560.6797802,1000400,-170.1904296875
1745189561.0063431,1000500,-173.28521728515625
1745189588.486935,1008800,-160.9285888671875
1745189598.6747746,1011800,-120.03600311279297
1745189607.78743,1014500,-130.53656005859375
1745189615.430672,1016800,-104.74681854248047
1745189626.0091767,1020000,-88.42133331298828
1745189633.993284,1022400,-75.5848388671875
1745189636.0651383,1023000,-89.72816467285156
1745189664.8096125,1031400,-45.503501892089844
1745189674.1703558,1034100,-43.709861755371094
1745189684.6888738,1037200,-48.15708923339844
1745189708.647307,1044200,-14.601024627685547
1745189760.4490387,1059300,-12.094712257385254
1745189778.4857988,1064600,11.175909042358398
1745189795.3188505,1069600,-11.873002052307129
1745189799.6986637,1070900,-3.3658182621002197
1745189814.213791,1075200,-14.140097618103027
1745189819.9555767,1076900,-13.727616310119629
1745189834.5550003,1081200,-5.333806991577148
1745189862.4492974,1089400,-26.400527954101562
1745189863.1401856,1089600,-8.494058609008789
1745189884.0388136,1095800,-22.500438690185547
1745189889.8417852,1097500,-19.29950714111328
1745189990.8678095,1127400,24.702430725097656
1745190023.0641692,1136900,-22.562637329101562
1745190056.5851252,1146900,-31.423974990844727
1745190094.7941892,1158200,-28.168821334838867
1745190115.9558647,1164500,-10.560296058654785
1745190269.116461,1207000,21.198753356933594
1745190285.3508916,1211800,21.001346588134766
1745190339.828464,1227800,50.99042510986328
1745190356.466471,1232700,63.56172180175781
1745190438.0020137,1256700,43.161643981933594
1745190450.8144097,1260500,47.77954864501953
1745190465.667255,1264900,67.20834350585938
1745190466.3428233,1265100,57.697391510009766
1745190491.9718356,1272700,69.92936706542969
1745190571.2406018,1295900,37.566795349121094
1745190637.3924475,1315200,25.860294342041016
1745190638.757548,1315600,27.014572143554688
1745190652.0513031,1319500,39.110984802246094
1745190773.5225852,1355500,90.4698257446289
1745190801.9888518,1363900,84.05787658691406
1745190812.2781096,1366900,87.58283996582031
1745190847.7894974,1377300,89.78584289550781
1745190857.2985892,1380100,91.11898803710938
1745190882.0819244,1387400,76.53730010986328
1745190888.6208158,1389300,62.77568817138672
1745190890.333455,1389800,56.43851852416992
1745190942.5591357,1405300,47.861351013183594
1745190958.263398,1410000,49.827850341796875
1745190999.3100293,1422200,26.023895263671875
1745191002.3971941,1423100,25.21169090270996
1745191024.8606346,1429700,35.56549072265625
1745191072.6209939,1443900,45.047035217285156
1745191078.5599704,1445700,21.332412719726562
1745191098.181168,1451600,-115.23229217529297
1745191127.5089855,1460500,-126.84827423095703
1745191129.7844393,1461200,-124.49568939208984
1745191217.1133437,1487400,33.34455108642578
1745191224.5470219,1489600,44.983375549316406
1745191258.5850215,1499600,71.73403930664062
1745191305.2064857,1510200,90.40422821044922
1745191309.6637828,1511500,87.46528625488281
1745191362.861935,1527000,105.48421478271484
1745191378.5837355,1531600,112.89080810546875
1745191380.3077452,1532100,108.4349136352539
1745191398.8129795,1537500,105.597412109375
1745191419.7183616,1543600,88.62992858886719
1745191481.7929873,1562200,-52.88920593261719
1745191560.461535,1586100,1.7690000534057617
1745191570.0011652,1588900,24.656841278076172
1745191774.7209654,1649200,137.2574005126953
1745191825.9060156,1664300,141.33035278320312
1745191974.998396,1708500,133.07284545898438
1745191986.014393,1711700,129.2041015625
1745191990.826787,1713100,127.99601745605469
1745191991.8537946,1713400,135.49673461914062
1745192000.0808985,1715800,143.7469482421875
1745192013.7572246,1719800,139.51303100585938
1745192073.1470847,1737100,135.29629516601562
1745192075.5778928,1737800,140.51931762695312
1745192122.3428137,1751400,136.86048889160156
1745192167.1075401,1764500,137.3863067626953
1745192223.7594283,1781400,137.1312255859375
1745192246.749483,1788300,133.63153076171875
1745192268.8714995,1794800,144.96807861328125
1745192280.57358,1798200,139.40733337402344
1745192384.0904353,1825600,126.67868041992188
1745192423.7317073,1837200,123.4698715209961
1745192426.4646492,1838000,122.46266174316406
