Wall time,Step,Value
1745186174.8065982,5699,-1852.0523681640625
1745186194.9138274,14399,-1829.010009765625
1745186200.0443711,18899,-1754.3031005859375
1745186224.2762768,26999,-1722.8057861328125
1745186242.105688,32399,-1914.48046875
1745186272.9862108,38699,-1519.6744384765625
1745186316.5011218,51899,-1094.8345947265625
1745186398.8879805,73499,-532.6735229492188
1745186413.8547585,77999,-1760.3577880859375
1745186436.8978848,84899,-1874.6285400390625
1745186552.2823894,116099,-239.0718536376953
1745186568.629326,120899,-542.4580078125
1745186581.8743925,124799,-538.0179443359375
1745186603.5061135,131399,-1454.0888671875
1745186631.513759,139799,-1505.92138671875
1745186647.6416533,144599,-291.5159912109375
1745186676.626687,153299,-1854.710693359375
1745186709.800354,160199,-1330.65478515625
1745186714.6982992,161699,-1878.343017578125
1745186732.290707,167099,-1674.1490478515625
1745186771.6677985,179099,-556.2881469726562
1745186812.1949732,191399,-1708.3717041015625
1745186818.0980785,193199,-1722.0699462890625
1745186832.9560256,197699,-1927.3670654296875
1745186947.7866127,229499,-701.14404296875
1745186987.6110466,241499,-1802.842529296875
1745187049.5057485,260099,-297.1859436035156
1745187069.6030746,266099,-533.5721435546875
1745187208.6600807,304799,-1588.35107421875
1745187219.7024417,308099,-541.1759643554688
1745187230.4379263,311399,-1837.527587890625
1745187303.5466335,333599,-1908.3883056640625
1745187317.3005745,337799,-1852.961669921875
1745187324.4253519,339899,-542.76806640625
1745187344.6868663,345899,-462.69671630859375
1745187356.8351665,349499,-529.69775390625
1745187369.0420961,353099,-968.1875610351562
1745187377.046152,355499,-303.5185241699219
1745187411.4179552,365699,-400.7875671386719
1745187445.8992822,375899,-752.4358520507812
1745187447.9243484,376499,-522.2562866210938
1745187461.1800587,380399,-753.088134765625
1745187465.31367,381599,-455.71539306640625
1745187570.8238258,413099,-1745.8668212890625
1745187611.7732995,425399,-1172.485595703125
1745187651.8389084,437399,-521.9022827148438
1745187652.842746,437699,-595.9193725585938
