Wall time,Step,Value
1745191586.3578587,822000,-573.2434692382812
1745193560.6131556,2175600,-538.7482299804688
1745194513.5838597,2822400,-671.3753051757812
1745195231.9192955,3333600,-1951.874267578125
1745195411.0404408,3465600,-1802.508544921875
1745195695.4783347,3666000,-1874.8896484375
1745195765.503063,3716400,-1688.2403564453125
1745195850.2233334,3776400,-1775.9630126953125
1745196093.9015055,3946800,-977.8864135742188
1745196608.8531833,4296000,-417.94097900390625
1745196693.5927465,4352400,-279.23028564453125
1745196800.910253,4423200,-726.569580078125
1745196833.057014,4444800,-1274.4012451171875
1745196882.122027,4477200,-1240.8067626953125
1745197038.9138496,4580400,-316.35845947265625
1745197212.8518445,4699200,-1256.4456787109375
1745197255.7980726,4729200,-1410.3052978515625
1745197269.3619757,4738800,-1644.44482421875
1745197320.3893993,4774800,-1743.626953125
1745197728.8316324,5056800,-1778.7645263671875
1745197746.017985,5068800,-1779.0059814453125
1745197821.7809844,5121600,-981.7866821289062
1745197842.5235126,5136000,-1836.37353515625
1745198117.1830385,5326800,-1404.4088134765625
1745198142.9647734,5344800,-1649.3114013671875
1745198250.3752644,5418000,-1179.1817626953125
1745198289.6575644,5444400,-1593.351318359375
1745198347.2420514,5482800,-732.7465209960938
1745198445.279595,5547600,-1060.8543701171875
1745198585.1653912,5638800,-276.6742858886719
1745198588.7989671,5641200,-306.6341247558594
1745198820.272582,5792400,-237.4423065185547
1745198853.295254,5814000,-210.30926513671875
1745198971.0157146,5890800,-287.91485595703125
1745199039.2791836,5935200,-352.8759765625
1745199103.873592,5977200,-221.2870635986328
1745199118.6274407,5986800,-210.54299926757812
1745199158.7435374,6006000,-180.1931915283203
1745199268.2369788,6076800,-126.37255096435547
1745199279.3048344,6084000,-174.57557678222656
1745199303.4766893,6099600,-432.1878967285156
1745199436.5159304,6186000,-784.2026977539062
1745199454.882056,6198000,-134.817626953125
1745199465.914878,6205200,-593.7827758789062
1745199512.0553513,6235200,-139.07174682617188
1745199596.9102023,6290400,-85.2090835571289
1745199637.5472798,6316800,-113.98400115966797
1745199717.0264285,6368400,-84.75211334228516
1745199810.875004,6429600,-33.21538543701172
1745199812.7466037,6430800,30.648956298828125
1745199814.5986862,6432000,51.2813720703125
1745199833.0774453,6444000,-55.28753662109375
1745199844.0499306,6451200,11.209027290344238
1745199946.6544569,6518400,43.46084976196289
1745199994.526373,6549600,-25.404563903808594
1745200045.8601031,6583200,2.085153341293335
1745200128.1647797,6637200,22.223146438598633
1745200137.261114,6643200,7.024182319641113
1745200144.5737097,6648000,-17.7039737701416
1745200183.1140437,6673200,-26.57428550720215
1745200203.272523,6686400,37.04518127441406
1745200214.1839368,6693600,27.7969970703125
1745200217.8268652,6696000,26.967199325561523
1745200228.8011577,6703200,34.526161193847656
1745200230.6353853,6704400,62.88641357421875
1745200245.3247235,6714000,20.33424186706543
1745200250.8618395,6717600,2.898268461227417
1745200267.3191621,6728400,48.33023452758789
1745200278.2552288,6735600,51.191097259521484
1745200281.9126027,6738000,-374.1370544433594
1745200289.1986148,6742800,37.441349029541016
1745200300.1592216,6750000,25.086978912353516
1745200311.2375884,6757200,21.812294006347656
1745200322.246699,6764400,22.963157653808594
1745200386.2347054,6806400,35.027034759521484
1745200422.7456756,6830400,32.99920654296875
1745200439.2700815,6841200,51.250885009765625
1745200459.5042284,6854400,68.90828704833984
1745200463.1843936,6856800,36.31574249267578
1745200494.0821674,6877200,-1710.86376953125
1745200743.9543495,7041600,22.533523559570312
1745200754.854712,7048800,46.331451416015625
1745200802.4972126,7080000,35.30410385131836
1745200815.1979485,7088400,20.399003982543945
1745200824.3796651,7094400,27.7413272857666
1745200826.1662664,7095600,57.354312896728516
1745200842.5726063,7106400,12.830574035644531
1745200846.2373478,7108800,33.93413543701172
1745200915.745738,7154400,31.504064559936523
1745200952.2968948,7178400,54.3080940246582
1745200959.6128304,7183200,86.79573822021484
1745200965.1250196,7186800,-27.121007919311523
1745200972.557642,7191600,72.62515258789062
1745201025.864138,7219200,-6.400907039642334
1745201027.7385664,7220400,55.664913177490234
1745201033.27762,7224000,57.28791427612305
1745201036.9829843,7226400,60.81027603149414
1745201082.8908951,7256400,30.486560821533203
1745201099.323736,7267200,52.40610122680664
1745201115.778723,7278000,20.65701675415039
1745201128.69786,7286400,-37.54426956176758
1745201176.3868544,7317600,50.44282913208008
1745201183.7232177,7322400,34.343631744384766
1745201189.2364466,7326000,50.98124313354492
1745201198.4581203,7332000,48.633296966552734
1745201209.5982592,7339200,61.184417724609375
1745201222.452652,7347600,29.517065048217773
1745201229.8537567,7352400,22.125093460083008
1745201233.523629,7354800,53.33628845214844
1745201259.3835206,7371600,29.812591552734375
1745201272.388227,7380000,33.943111419677734
1745201329.2222772,7417200,46.59611511230469
1745201338.4448745,7423200,56.058963775634766
1745201342.1134443,7425600,45.64861297607422
1745201343.926851,7426800,42.30820846557617
1745201353.0615232,7432800,16.12225341796875
1745201360.4220119,7437600,15.84096622467041
1745201373.2885575,7446000,20.532861709594727
1745201391.7304146,7458000,49.115596771240234
1745201415.5966809,7473600,2.991055488586426
1745201424.805061,7479600,43.082340240478516
1745201430.2449403,7483200,-1491.1851806640625
1745201454.0929894,7498800,46.15393829345703
1745201481.7266624,7516800,70.9386978149414
1745201483.5480654,7518000,67.23443603515625
1745201494.5605116,7525200,46.28712463378906
1745201509.2181492,7534800,14.922266006469727
