Wall time,Step,Value
1745186232.290129,6000,-1777.3050537109375
1745186289.8639753,22800,-1405.532470703125
1745186375.2251747,49200,-1003.26513671875
1745186399.155846,57600,-894.724365234375
1745186402.604203,58800,-848.4727172851562
1745186450.6572545,75600,-731.8787841796875
1745186454.086228,76800,-734.2265014648438
1745186478.370388,81600,-698.4747314453125
1745186491.9515226,86400,-703.1416625976562
1745186512.5006735,93600,-712.3043212890625
1745186529.6022458,99600,-710.1124267578125
1745186553.7728033,108000,-695.4365844726562
1745186587.7013514,120000,-759.5391845703125
1745186601.4667172,124800,-773.700927734375
1745186615.1861982,129600,-782.9161987304688
1745186663.079174,146400,-810.9949951171875
1745186698.505664,154800,-730.0004272460938
1745186705.3515656,157200,-762.6868896484375
1745186754.0541046,174000,-737.4046020507812
1745186764.425838,177600,-708.3011474609375
1745186798.678058,189600,-712.3809814453125
1745186808.9334655,193200,-747.6552124023438
1745186815.8446233,195600,-769.4962158203125
1745186822.8016245,198000,-783.8572998046875
1745186850.7154796,207600,-805.3140258789062
1745186916.675598,230400,-587.2930908203125
1745186957.7515914,244800,-703.0772705078125
1745186964.6125793,247200,-723.4366455078125
1745186992.6997159,256800,-705.9402465820312
1745187058.7158873,276000,-595.5838012695312
1745187110.3406596,294000,-628.9276733398438
1745187113.7358863,295200,-637.5446166992188
1745187158.5486465,310800,-545.7384033203125
1745187162.0070064,312000,-533.4087524414062
1745187203.527459,326400,-482.5177001953125
1745187213.8515284,330000,-467.9527587890625
1745187241.203834,339600,-509.0701904296875
1745187251.5773876,343200,-515.1339111328125
1745187286.2653012,355200,-403.57421875
1745187358.5805516,380400,-376.8677978515625
1745187368.9657187,384000,-390.13519287109375
1745187379.2751355,387600,-413.6873779296875
1745187472.933028,416400,-428.2814636230469
1745187514.4117756,430800,-390.91937255859375
1745187535.0505707,438000,-361.3966979980469
1745187541.954093,440400,-366.7044982910156
1745187583.3533964,454800,-361.1427307128906
1745187610.6858656,464400,-407.79656982421875
1745187624.508819,469200,-390.73553466796875
1745187631.4311,471600,-379.20782470703125
1745187665.9136822,483600,-375.14666748046875
1745187672.7556427,486000,-387.92529296875
1745187710.8685963,499200,-332.1714172363281
1745187734.9461198,507600,-382.6463928222656
1745187783.0450935,524400,-481.0668029785156
1745187786.5108178,525600,-481.4433288574219
1745187793.4530833,528000,-480.16717529296875
1745187817.7752805,536400,-419.0729675292969
1745187869.596349,554400,-324.0069885253906
1745187883.4232755,559200,-329.1634216308594
1745187914.5873456,570000,-316.764892578125
1745187918.1704967,571200,-314.97796630859375
1745187935.8735704,577200,-274.7435607910156
1745187939.456014,578400,-271.5321044921875
1745187960.1427073,585600,-275.381103515625
1745188039.5745597,613200,-254.0072021484375
1745188057.6788056,615600,-226.92520141601562
1745188061.1440725,616800,-227.59490966796875
1745188064.646716,618000,-224.52964782714844
1745188075.0739918,621600,-213.5404510498047
1745188082.005488,624000,-211.5135040283203
1745188130.730028,640800,-198.06735229492188
1745188134.207451,642000,-196.8224639892578
1745188141.1571925,644400,-190.52220153808594
1745188148.0869849,646800,-194.0373077392578
1745188155.0520642,649200,-190.34608459472656
1745188175.92093,656400,-183.66915893554688
1745188196.7061732,663600,-192.694091796875
1745188210.5874593,668400,-194.53831481933594
1745188231.2969618,675600,-216.23744201660156
1745188238.1828554,678000,-216.4910125732422
