Wall time,Step,Value
1745188865.1854265,5699,-522.62744140625
1745188893.672736,14399,-1460.508056640625
1745188903.4191155,18899,-459.688720703125
1745188931.4285107,26999,-435.56402587890625
1745188943.6065245,32399,-632.44140625
1745188967.1150193,38699,-402.3116760253906
1745188996.3407097,51899,-536.2734985351562
1745189054.4840474,73499,-426.48236083984375
1745189064.4939897,77999,-456.2793884277344
1745189079.6885083,84899,-505.80511474609375
1745189158.9761426,116099,-503.83624267578125
1745189169.5895462,120899,-489.9206237792969
1745189178.3819237,124799,-422.35211181640625
1745189192.93988,131399,-988.0830078125
1745189211.7332656,139799,-499.5798034667969
1745189222.3785129,144599,-434.3097229003906
1745189241.6758654,153299,-499.6726989746094
1745189267.345787,160199,-401.12799072265625
1745189270.7139568,161699,-503.92840576171875
1745189282.7368054,167099,-504.3213195800781
1745189309.3707027,179099,-1290.7957763671875
1745189336.3000228,191399,-467.03271484375
1745189340.2106576,193199,-498.7317199707031
1745189350.2481232,197699,-453.5729675292969
1745189431.2015314,229499,-414.4273986816406
1745189457.6529872,241499,-1130.061279296875
1745189499.0266352,260099,-413.71429443359375
1745189512.5221112,266099,-424.6011047363281
1745189609.186079,304799,-497.6511535644531
1745189616.4350536,308099,-513.6011352539062
1745189623.7333338,311399,-1561.1776123046875
1745189673.0454428,333599,-409.48150634765625
1745189682.3993611,337799,-1353.306396484375
1745189686.9956372,339899,-536.0784301757812
1745189700.3591483,345899,-483.1110534667969
1745189708.1991434,349499,-469.9477844238281
1745189716.2005465,353099,-518.1083374023438
1745189721.5051587,355499,-1544.759521484375
1745189743.8395455,365699,-405.51458740234375
1745189766.4036965,375899,-1551.3817138671875
1745189767.7624557,376499,-491.06243896484375
1745189776.4010663,380399,-480.74322509765625
1745189779.0577435,381599,-519.1350708007812
1745189848.6430976,413099,-535.625732421875
1745189875.6532521,425399,-764.627197265625
1745189902.3338346,437399,-520.671630859375
1745189903.0096219,437699,-467.3225402832031
1745189926.8708773,448499,-520.9827270507812
1745189937.469079,453299,-416.0995178222656
1745189939.486661,454199,-453.937255859375
1745189962.5238628,464699,-1459.2059326171875
1745189964.5332236,465599,-529.1806030273438
1745189973.7622676,469799,-1455.0455322265625
1745190014.8688054,488399,-470.6550598144531
1745190020.1773763,490799,-464.62762451171875
1745190043.2046447,501299,-1259.9100341796875
1745190063.9953804,510899,-474.7107238769531
1745190070.011623,513599,-521.9739379882812
1745190160.2189636,554399,-512.9274291992188
1745190194.5161881,569999,-492.3349609375
1745190201.2004173,572999,-1377.4046630859375
1745190221.6781468,582299,-524.460205078125
1745190234.9292655,588299,-438.12103271484375
1745190235.6093223,588599,-533.9154663085938
1745190318.048074,621299,-459.3775329589844
1745190323.9254174,623999,-1513.5050048828125
1745190408.2469535,662999,-731.7064819335938
1745190479.5300496,695999,-434.7644958496094
1745190505.6402707,707999,-456.1713562011719
1745190555.5947149,731099,-1538.8358154296875
1745190558.9348269,732599,-430.2690124511719
1745190567.371112,736499,-551.8753662109375
1745190572.4553103,738899,-1368.0850830078125
1745190574.3790011,739799,-1377.0869140625
1745190598.673197,751199,-1529.4326171875
1745190646.2848575,773399,-1032.273681640625
1745190646.931087,773699,-962.4451293945312
1745190660.3128858,779999,-1373.4642333984375
1745190683.3721108,790799,-844.2141723632812
1745190688.4802928,793199,-863.6776123046875
1745190715.093583,805499,-458.9961242675781
1745190720.8536096,808199,-1436.121337890625
1745190730.4823275,812699,-506.4966735839844
1745190736.318684,815399,-414.3883361816406
1745190759.3987923,826199,-1394.4102783203125
1745190760.0328057,826499,-1180.720458984375
1745190768.9664836,830699,-1014.5523071289062
1745190779.8982852,835799,-457.6150207519531
1745190797.7072918,843899,-415.26007080078125
1745190818.7646356,853499,-414.0834655761719
1745190829.8576217,858599,-525.3798217773438
1745190902.2000792,892199,-1426.080078125
1745190983.485747,925199,-501.9141845703125
1745190984.1111634,925499,-1409.6859130859375
1745190996.9543865,931499,-531.5524291992188
1745190997.5753465,931799,-1673.78857421875
1745191007.1223958,936299,-1692.0924072265625
1745191023.396044,943799,-1315.7384033203125
1745191058.3752983,959999,-1470.5455322265625
1745191070.387111,965399,-1701.3994140625
1745191086.0114768,972599,-494.6654968261719
1745191101.609585,979799,-1227.2520751953125
1745191103.5383308,980699,-1589.9136962890625
1745191160.9048426,1007099,-1586.8634033203125
1745191192.1283398,1021499,-636.9744873046875
1745191229.1488652,1038599,-517.0680541992188
1745191243.46513,1045199,-1494.830078125
1745191248.678519,1047599,-520.5216064453125
1745191254.4457512,1050299,-531.5096435546875
1745191271.5955133,1058099,-734.2659301757812
1745191297.6425517,1070099,-1072.8052978515625
1745191319.6070015,1080299,-527.323486328125
1745191329.8937664,1085099,-1608.2479248046875
1745191354.7773018,1096499,-523.8311157226562
1745191356.7188413,1097399,-521.9285278320312
1745191359.2130642,1098599,-1583.1072998046875
1745191363.7844198,1100699,-1625.580078125
1745191365.725473,1101599,-522.7383422851562
1745191378.1572342,1107299,-1557.2930908203125
1745191392.4058661,1113899,-521.227294921875
1745191437.6262474,1134899,-1537.328125
1745191480.7661383,1154699,-1478.1741943359375
1745191524.185498,1174799,-1490.81689453125
1745191535.8399253,1180199,-1531.8299560546875
1745191562.8361692,1192799,-527.889404296875
1745191597.40225,1203899,-1423.8624267578125
1745191604.4517417,1207199,-1656.5921630859375
1745191644.0226445,1225499,-1382.031982421875
1745191660.3493836,1232999,-1210.3232421875
1745191667.8650446,1236599,-1562.2479248046875
1745191669.780777,1237499,-1613.3658447265625
1745191684.0531955,1244099,-514.8999633789062
1745191706.3647635,1254599,-1529.5419921875
1745191713.3302882,1257899,-525.8030395507812
1745191735.9012673,1268399,-1479.6873779296875
1745191755.3298619,1277399,-1247.1405029296875
1745191794.424727,1295699,-1139.88134765625
1745191800.842609,1298699,-1371.40185546875
1745191882.090989,1336499,-1526.638427734375
1745191934.3266866,1360799,-516.3844604492188
1745191937.020914,1361999,-516.7119140625
1745191953.2558186,1369499,-516.9180297851562
1745191984.0171087,1383899,-503.8790588378906
1745192007.915092,1394999,-1559.6905517578125
1745192034.1057477,1407299,-1407.54638671875
1745192039.2323718,1409699,-1555.4478759765625
1745192044.8702784,1412399,-1515.2596435546875
1745192059.3503137,1419299,-1468.0389404296875
1745192089.2669437,1433399,-515.1113891601562
1745192124.5940747,1449899,-1458.9779052734375
1745192127.1942503,1451099,-510.20159912109375
1745192132.2791157,1453499,-1566.4010009765625
1745192156.6138794,1464899,-1447.8304443359375
1745192174.5289428,1473299,-1185.4869384765625
1745192294.7777507,1523999,-1444.2120361328125
1745192300.6092865,1526699,-1648.76953125
1745192301.8457122,1527299,-1690.6856689453125
1745192329.1128216,1539899,-1519.7606201171875
1745192331.5937152,1541099,-1666.7088623046875
1745192341.1672893,1545599,-513.5103149414062
1745192343.8645346,1546799,-518.56689453125
1745192364.463001,1556399,-1696.6533203125
1745192372.8579159,1560299,-515.3443603515625
1745192389.0763044,1567799,-1274.5516357421875
1745192397.488243,1571699,-1415.555419921875
1745192407.4158897,1576199,-841.72900390625
1745192413.2113225,1578899,-502.1502685546875
1745192434.5543876,1588799,-1595.8521728515625
1745192449.9854844,1595999,-513.7435913085938
1745192451.8541234,1596899,-1715.3599853515625
1745192477.6706345,1608899,-1266.5848388671875
1745192482.9185266,1611299,-1592.7774658203125
1745192504.133462,1621199,-1621.509033203125
1745192531.2595134,1633799,-1565.91162109375
1745192537.2200909,1636499,-504.5652770996094
1745192572.4901054,1652999,-1620.23974609375
1745192674.0223415,1700399,-1545.2962646484375
1745192714.5862672,1719299,-521.1593627929688
1745192732.8223119,1727699,-1494.4366455078125
1745192747.8398433,1734599,-1608.81689453125
1745192780.2372997,1749899,-1585.7950439453125
1745192802.1117806,1760099,-1647.369873046875
1745192810.6711938,1763999,-1347.415771484375
1745192860.2349675,1787099,-1775.906982421875
1745192876.277205,1794599,-1743.8970947265625
1745192886.7031157,1799399,-1161.5843505859375
1745192904.6645162,1802999,-1532.91552734375
1745192932.928994,1816199,-514.4756469726562
1745192969.8876595,1833599,-1565.1463623046875
1745192987.0054724,1841699,-1637.174560546875
1745192989.5574033,1842899,-1523.6551513671875
1745193042.632202,1867799,-1738.1273193359375
1745193054.0530703,1873199,-529.367919921875
1745193077.0731783,1883999,-1611.595458984375
1745193110.5148013,1899899,-1688.980224609375
1745193111.8178585,1900499,-530.77734375
1745193127.1457682,1907699,-1586.1473388671875
1745193127.7595313,1907999,-1690.6436767578125
1745193130.8498268,1909499,-1664.8287353515625
1745193134.1181135,1910999,-522.5140380859375
1745193235.6886244,1958699,-1666.77734375
1745193250.2793546,1965599,-1665.84814453125
1745193258.5367289,1969499,-1201.21630859375
1745193261.6781764,1970999,-1654.0125732421875
1745193271.7962024,1975799,-1538.6126708984375
1745193275.026703,1977299,-504.8827209472656
1745193280.5690706,1979999,-1655.2730712890625
1745193290.5891178,1984799,-525.4010009765625
1745193326.8383083,2002199,-524.50048828125
1745193362.8700185,2019299,-1825.1383056640625
1745193375.6614864,2025299,-1563.0140380859375
1745193408.6546097,2040899,-1579.74658203125
1745193434.1082807,2052899,-524.7859497070312
1745193439.2652473,2055299,-1505.75390625
1745193481.5102317,2075099,-1468.9228515625
1745193483.5122576,2075999,-513.7332763671875
1745193490.6415234,2079299,-665.3812255859375
1745193529.2791996,2097599,-518.280517578125
1745193532.361408,2099099,-1513.0452880859375
1745193533.6653376,2099699,-526.7152099609375
1745193579.236913,2116499,-1607.68798828125
1745193619.8903964,2135399,-522.3594360351562
1745193621.8149252,2136299,-1636.23193359375
1745193625.7526045,2138099,-1526.158447265625
1745193650.2833457,2149499,-1542.5355224609375
1745193678.1253343,2162399,-510.49468994140625
1745193707.556515,2176199,-518.2799072265625
1745193721.0238442,2182499,-516.600341796875
1745193742.6492846,2192699,-524.1482543945312
1745193761.8251238,2201699,-1455.2529296875
1745193771.7276337,2206199,-1508.4520263671875
1745193780.7241545,2210399,-1739.779541015625
1745193825.3434377,2231099,-1719.3707275390625
1745193843.2360249,2239499,-1789.4552001953125
1745193845.7340717,2240699,-1658.2139892578125
1745193846.9858701,2241299,-1690.9298095703125
1745193854.7738433,2244899,-1580.5303955078125
1745193870.330142,2252099,-1526.601806640625
1745193878.0297332,2255699,-518.1438598632812
1745193887.109365,2259899,-1661.876953125
1745193894.1431487,2263199,-1781.39794921875
1745193926.306821,2278199,-1694.199951171875
1745193933.4114769,2281499,-1714.6842041015625
1745193955.1264396,2291699,-1489.9608154296875
1745193958.972832,2293499,-1672.289306640625
1745193969.2878165,2298299,-515.4608154296875
1745194012.7624416,2318399,-1662.496337890625
1745194014.772029,2319299,-532.987060546875
1745194031.3719418,2327099,-1703.5538330078125
1745194055.8796482,2338499,-1625.026123046875
1745194056.5870938,2338799,-521.643798828125
1745194073.529212,2346599,-1612.859130859375
1745194084.4097753,2351699,-1652.3544921875
1745194095.7871773,2356799,-1269.68359375
1745194121.9015458,2368799,-1729.0069580078125
1745194125.924048,2370599,-528.3773803710938
1745194143.8954575,2378999,-1609.7060546875
1745194180.7711709,2396099,-1609.6053466796875
1745194229.4561024,2414099,-1495.78369140625
1745194250.1999176,2423699,-524.133544921875
1745194278.3868906,2436899,-1631.7569580078125
1745194292.702032,2443499,-1535.75048828125
1745194339.013288,2465099,-1602.455078125
1745194347.5859797,2468999,-525.3381958007812
1745194378.4616942,2483399,-1682.9410400390625
1745194387.3262606,2487599,-1694.2789306640625
1745194390.4620924,2489099,-1097.0003662109375
1745194442.525123,2513399,-528.5185546875
1745194455.4394307,2519399,-523.1362915039062
1745194515.5353324,2547599,-1253.546630859375
1745194552.0150397,2564699,-1639.7451171875
1745194555.9014382,2566499,-1633.8114013671875
1745194561.6679194,2569199,-1315.24365234375
1745194597.1906028,2585699,-971.5243530273438
1745194624.0070517,2597999,-1734.855224609375
1745194626.4968886,2599199,-1678.715087890625
1745194646.5638485,2608499,-518.313232421875
1745194665.9277458,2617499,-1699.3489990234375
1745194684.271661,2625899,-1635.455322265625
1745194699.6724858,2633099,-1746.52587890625
1745194700.9889228,2633699,-511.3555908203125
1745194729.995734,2647199,-1556.8018798828125
1745194736.46877,2650199,-528.5276489257812
1745194760.1608355,2661299,-1680.66552734375
1745194764.6844714,2663399,-1703.009033203125
1745194790.6114345,2675399,-511.180908203125
1745194834.633917,2695799,-532.6793823242188
1745194858.5213397,2702099,-520.6948852539062
1745194876.1638894,2710199,-1704.6544189453125
1745194892.2872887,2717699,-1516.357666015625
1745194932.771467,2736599,-1664.1846923828125
1745194952.7501345,2745899,-1544.375244140625
1745194991.3480558,2763899,-528.7748413085938
1745195017.3579977,2775899,-523.599853515625
1745195042.8719823,2787599,-514.1513671875
1745195050.4249747,2791199,-1665.76513671875
1745195056.4572043,2793899,-518.1405029296875
1745195066.311586,2798399,-1588.821044921875
1745195078.093344,2803799,-520.2081298828125
1745195087.258416,2807999,-529.2704467773438
1745195095.7016685,2811899,-524.188232421875
1745195098.9128282,2813399,-1753.046875
1745195105.4671373,2816399,-521.64892578125
1745195149.6588993,2837099,-525.0768432617188
1745195202.3874078,2861699,-1658.228271484375
1745195208.0890346,2864399,-1587.04248046875
1745195220.3568568,2870099,-1615.6903076171875
1745195288.0379038,2901599,-1638.69140625
1745195288.7403169,2901899,-520.6326293945312
1745195314.4132943,2913899,-1755.7845458984375
1745195340.6988554,2926199,-1698.156494140625
1745195341.3227122,2926499,-1677.98876953125
1745195352.998774,2931899,-1628.8148193359375
1745195379.4536276,2944199,-1654.1181640625
1745195386.500752,2947499,-1496.2408447265625
1745195394.8748662,2951399,-533.7389526367188
1745195403.3552172,2955299,-524.3986206054688
1745195414.2547753,2960399,-531.0256958007812
1745195431.427082,2968499,-1686.8111572265625
1745195446.0426373,2975399,-1689.2366943359375
1745195466.049796,2984699,-1638.5986328125
1745195466.7574964,2984999,-517.26953125
1745195467.3799884,2985299,-1660.2449951171875
1745195473.896888,2988299,-517.1665649414062
1745195482.1059113,2992199,-1518.9749755859375
1745195486.05958,2993999,-1589.447998046875
1745195494.9421952,2998199,-1630.4525146484375
1745195551.0290039,3019199,-1360.304443359375
1745195568.4756396,3027299,-1729.1390380859375
1745195588.7139509,3036599,-523.4644165039062
1745195599.6964803,3041699,-1655.591796875
1745195633.3121693,3057599,-1539.401611328125
1745195644.1040046,3062699,-1708.070556640625
1745195648.7111259,3064799,-1562.1004638671875
1745195683.6604502,3080999,-526.2230224609375
1745195690.8444498,3084299,-1648.059326171875
1745195730.9893782,3102899,-516.2200927734375
1745195732.8584902,3103799,-1558.24072265625
1745195733.4948606,3104099,-1269.9578857421875
1745195765.4860969,3118799,-514.6021728515625
1745195797.944997,3133799,-522.7954711914062
1745195801.7383394,3135599,-1315.882568359375
1745195802.4045255,3135899,-1032.0789794921875
1745195806.3212252,3137699,-533.3603515625
1745195834.3805065,3150599,-826.4889526367188
1745195845.3503282,3155699,-526.9886474609375
1745195873.0723178,3168599,-523.9208984375
1745195895.9358463,3179099,-1491.410888671875
1745195919.7758033,3190199,-520.5060424804688
1745195926.345977,3193199,-528.9775390625
1745195927.6926205,3193799,-516.6240234375
1745195967.6906898,3212399,-520.1751098632812
1745195974.071446,3215399,-850.8267822265625
1745195978.6015098,3217499,-1682.400146484375
1745196009.0206945,3231599,-1655.240966796875
