Wall time,Step,Value
1741292211.200529,32000,-881.0598754882812
1741292523.669349,64000,-625.8544311523438
1741292825.4989522,96000,-908.405029296875
1741293119.7956653,128000,-1183.3896484375
1741293415.1264305,160000,-787.24609375
1741293709.6583524,192000,-853.561279296875
1741294005.880676,224000,-1012.1646728515625
1741294300.5214581,256000,-829.2074584960938
1741294596.1134026,288000,-725.997802734375
1741294895.9015613,320000,-1047.9649658203125
1741295198.410187,352000,-858.9280395507812
1741295503.041519,384000,-850.66259765625
1741295807.1583328,416000,-606.9340209960938
1741296118.9730353,448000,-959.5381469726562
1741296423.2973256,480000,-890.6605224609375
1741296728.1422322,512000,-573.693359375
1741297041.9644995,544000,-952.6577758789062
1741297347.3015873,576000,-994.0507202148438
1741297653.654507,608000,-1029.2999267578125
1741297960.9850938,640000,-940.9320068359375
1741298268.0762818,672000,-781.1334228515625
1741298575.038723,704000,-906.006591796875
1741298878.7679586,736000,-600.119140625
1741299182.6163151,768000,-595.8322143554688
1741299487.1370702,800000,-942.5479736328125
1741299791.3848739,832000,-1420.47412109375
1741300097.1237571,864000,-1016.2346801757812
1741300405.325636,896000,-564.6201782226562
1741300722.5496783,928000,-1015.1549682617188
1741301031.2283921,960000,-581.4321899414062
1741301340.1872663,992000,-743.3485717773438
1741301648.4682868,1024000,-675.6644897460938
1741301958.363358,1056000,-791.6171875
1741302269.1459596,1088000,-829.2443237304688
1741302579.8691356,1120000,-835.3888549804688
1741302892.669144,1152000,-543.4032592773438
1741303213.6785088,1184000,-903.1513671875
1741303527.854041,1216000,-449.9910583496094
1741303849.354848,1248000,-682.0994262695312
1741304162.9465668,1280000,-559.862060546875
1741304477.9815094,1312000,-474.4267272949219
1741304794.2932932,1344000,-665.6649169921875
1741305112.9957407,1376000,-399.1551818847656
1741305438.948233,1408000,-797.9384765625
1741305758.1821845,1440000,-1223.991455078125
1741306078.848711,1472000,-546.4757080078125
1741306399.5109532,1504000,-627.3958740234375
1741306721.196182,1536000,-408.39208984375
1741307043.6464207,1568000,-535.028564453125
1741307366.4689202,1600000,-416.32275390625
1741307690.364608,1632000,-595.7725219726562
1741308014.3494701,1664000,-447.5382995605469
1741308339.1266248,1696000,-681.7909545898438
1741308662.9398377,1728000,-749.5267944335938
1741308987.8581715,1760000,-1118.1402587890625
1741309312.7200236,1792000,-692.4962768554688
1741309638.5289667,1824000,-429.9599914550781
1741309963.5806978,1856000,-601.0064086914062
1741310285.869775,1888000,-854.5499267578125
1741310609.0690029,1920000,-735.84716796875
1741310929.2702804,1952000,-589.9193725585938
1741311250.0643723,1984000,-526.3402709960938
1741311572.4802146,2016000,-704.5216064453125
1741311896.6606562,2048000,-572.3790283203125
1741312224.1937926,2080000,-739.568603515625
1741312552.233382,2112000,-477.6001892089844
1741312879.7097836,2144000,-679.3904418945312
1741313206.120017,2176000,-529.9990234375
1741313532.23805,2208000,-346.709716796875
1741313866.3883016,2240000,-350.1527099609375
1741314193.3804123,2272000,-516.4503784179688
1741314520.1568036,2304000,-470.201171875
1741314848.2252352,2336000,-458.6553649902344
1741315175.5498056,2368000,-498.0108947753906
1741315502.7690468,2400000,-502.2974548339844
1741315830.8210542,2432000,-663.3375854492188
1741316157.3476853,2464000,-660.80078125
1741316485.4111001,2496000,-380.48809814453125
1741316812.795378,2528000,-281.0144958496094
1741317149.2312877,2560000,-519.2540283203125
1741317474.0774493,2592000,-605.4199829101562
1741317798.6364572,2624000,-897.4244384765625
1741318123.2954574,2656000,-584.6888427734375
1741318450.219978,2688000,-674.3543701171875
1741318776.7281868,2720000,-416.7105407714844
1741319103.4707801,2752000,-548.330322265625
1741319429.9599957,2784000,-367.90692138671875
1741319756.5268886,2816000,-638.4566650390625
1741320083.0032036,2848000,-656.8966674804688
1741320409.7598312,2880000,-448.18267822265625
1741320737.3130102,2912000,-533.7575073242188
